U00001|admin@university.edu|admin@123|1
U00080|bobsmith@university.edu|bobsmith@123|student
U00081|alicekumar@university.edu|alicekumar@123|student
U00082|ethanlee@university.edu|ethanlee@123|student
U00083|fionakumar@university.edu|fionakumar@123|student
U00084|ninamiller@university.edu|ninamiller@123|student
U00085|georgesmith@university.edu|georgesmith@123|student
U00086|rachelsmith@university.edu|rachelsmith@123|student
U00087|ivanlee@university.edu|ivanlee@123|student
U00088|michaelchen@university.edu|michaelchen@123|student
U00089|fionadavis@university.edu|fionadavis@123|student
U00090|ivansmith@university.edu|ivansmith@123|student
U00091|oscarlee@university.edu|oscarlee@123|student
U00092|dianawilson@university.edu|dianawilson@123|student
U00093|kevinwilson@university.edu|kevinwilson@123|student
U00094|juliadavis@university.edu|juliadavis@123|student
U00095|bobtaylor@university.edu|bobtaylor@123|student
U00096|kevinlee@university.edu|kevinlee@123|student
U00097|bobtaylor@university.edu|bobtaylor@123|student
U00098|michaeljohnson@university.edu|michaeljohnson@123|student
U00099|ivanmiller@university.edu|ivanmiller@123|student
U00100|hannahkumar@university.edu|hannahkumar@123|student
U00101|quinnsmith@university.edu|quinnsmith@123|student
U00102|georgebrown@university.edu|georgebrown@123|student
U00103|fionataylor@university.edu|fionataylor@123|student
U00104|michaeltaylor@university.edu|michaeltaylor@123|student
U00105|bobsmith@university.edu|bobsmith@123|student
U00106|quinnkumar@university.edu|quinnkumar@123|student
U00107|dianalee@university.edu|dianalee@123|student
U00108|dianawilson@university.edu|dianawilson@123|student
U00109|tinabrown@university.edu|tinabrown@123|student
U00110|racheldavis@university.edu|racheldavis@123|student
U00111|paulasmith@university.edu|paulasmith@123|student
U00112|michaellee@university.edu|michaellee@123|student
U00113|bobchen@university.edu|bobchen@123|student
U00114|quinnkumar@university.edu|quinnkumar@123|student
U00115|charliebrown@university.edu|charliebrown@123|student
U00116|juliadavis@university.edu|juliadavis@123|student
U00117|quinnlee@university.edu|quinnlee@123|student
U00118|laurataylor@university.edu|laurataylor@123|student
U00119|dianamiller@university.edu|dianamiller@123|student
U00120|quinnmiller@university.edu|quinnmiller@123|student
U00121|alicechen@university.edu|alicechen@123|student
U00122|quinnlee@university.edu|quinnlee@123|student
U00123|rachelmiller@university.edu|rachelmiller@123|student
U00124|hannahsmith@university.edu|hannahsmith@123|student
U00125|kevinbrown@university.edu|kevinbrown@123|student
U00126|samchen@university.edu|samchen@123|student
U00127|tinasmith@university.edu|tinasmith@123|student
U00128|laurakumar@university.edu|laurakumar@123|student
U00129|charliechen@university.edu|charliechen@123|student
U00130|quinnjohnson@university.edu|quinnjohnson@123|student
U00131|julialee@university.edu|julialee@123|student
U00132|hannahtaylor@university.edu|hannahtaylor@123|student
